113143,981,341
113245,867,301
113353,922,409
113470,928,378
113618,769,292
113769,636,321
113888,527,344
113991,207,182
114061,369,352
114151,883,432
114218,662,542
114296,585,542
114383,231,691
114680,1222,137
114759,577,409
114830,601,210
114902,410,218
115081,241,292
115175,1018,224
115263,607,135
115340,885,481
115429,880,65
115512,969,64
115591,696,276
115661,375,334
115741,396,445
115806,64,437
115944,379,264
116028,379,327
116091,449,362
116152,98,612
116288,47,562
116355,261,298
116424,889,531
116488,550,509
116559,624,507
116626,622,552
116688,341,575
116754,590,510
116829,657,459
116907,466,551
116988,588,514
117055,393,437
117129,536,524
117192,364,371
117271,553,350
117335,439,392
117414,385,421
117480,404,421
117566,393,354
117629,466,294
117709,479,288
117771,541,271
117845,456,380
117916,543,493
117981,616,502
118055,807,409
118125,1201,291
118341,286,707
118403,407,473
118468,526,448
118525,366,569
118585,399,501
118653,224,390
118714,231,282
118783,430,313
118842,447,434
118918,103,336
118973,242,89
119034,383,119
119106,559,115
119163,509,106
119235,559,355
119288,642,569
119348,783,606
119421,647,716
119484,768,692
119557,756,713
119841,866,690
119907,750,538
119976,771,511
120039,631,561
120111,922,227
120186,1237,296
120250,1074,442
120327,1324,747
120542,1336,215
120622,1119,299
120682,1126,250
120757,1148,232
120823,1016,267
120894,938,373
120959,554,417
121023,583,448
121096,849,587
121171,966,569
121237,983,582
121306,956,575
121370,703,404
121440,810,526
121511,592,271
121592,731,400
121657,1028,255
121729,996,422
121809,1010,385
121880,295,569
121959,152,495
122030,257,482
122106,164,425
122169,244,627
122241,315,545
122311,216,418
122394,485,435
122455,621,425
122533,729,422
122608,653,452
122670,650,438
122744,978,449
122813,819,470
122892,618,438
122954,526,399
123045,575,532
123127,515,499
123197,531,632
123277,1048,502
123423,272,671
123492,315,516
123559,350,555
123641,531,472
123709,382,454
123771,140,388
123843,324,258
123915,300,332
123977,150,327
124057,499,110
124118,1132,213
124195,292,692
124423,423,647
124494,377,569
124573,280,533
124636,245,561
124714,189,577
124780,362,536
124861,904,573
124922,764,713
125058,806,593
125125,391,666
125193,1044,294
125343,567,508
125414,388,337
125495,1313,183
125644,434,387
125853,661,448
125952,782,528
126044,619,715
126236,385,746
126332,662,122
126459,478,364
126610,490,394
126680,277,599
126754,295,475
126813,363,541
126897,876,490
126956,955,478
127022,1017,275
127091,776,225
127151,1366,77
127222,1275,189
127285,1108,199
127634,1305,530
127696,1112,524
127780,1004,470
127861,944,505
127942,961,371
128013,793,374
128088,841,309
128159,499,376
128229,461,406
128313,593,540
132772,1146,107
132866,1059,94
132939,1007,163
133102,1191,175
133192,971,310
133260,1084,382
133329,1152,481
133423,1106,442
133497,1140,452
133588,1168,499
133674,1175,495
133749,1080,498
133826,1060,409
133911,1091,506
133993,1079,517
134066,1119,580
134136,1176,512
134209,991,635
134277,1165,579
134362,753,552
134430,967,554
134512,903,562
134576,937,503
134639,961,484
134713,1076,479
134782,860,719
