ts,x,y
215747,642,454
215852,507,663
216047,527,705
216138,346,620
216255,433,663
216366,447,671
216473,271,367
216590,675,651
216693,537,490
216795,491,647
216889,445,635
217007,353,597
217116,724,383
217224,303,499
217358,405,561
217470,662,436
217595,409,603
217705,429,458
217832,1063,359
217930,291,222
218036,116,181
218160,734,272
218371,638,403
218488,973,352
218591,1035,342
218693,1117,650
218930,921,255
219025,1179,247
219144,1251,491
219250,1073,491
219357,1229,423
219472,1152,415
219685,1291,505
219798,1225,540
219908,1181,528
220029,1116,358
220130,1045,646
220262,1110,592
220368,1242,647
220464,1128,480
220566,1070,609
220665,986,469
220762,1013,471
220854,1173,463
221107,523,650
221214,703,602
221321,800,607
221439,621,588
221548,31,380
221655,497,626
221776,262,452
221883,715,645
221990,473,723
222108,496,695
222212,559,623
222308,612,641
222422,454,700
222518,457,525
222615,583,574
222726,466,550
223130,1236,483
223549,1084,403
223642,1175,241
223750,1256,277
223849,1148,219
223954,1068,288
224067,1005,164
224170,1182,259
224283,1013,242
224382,1135,328
224496,1127,214
224591,1037,261
224698,1051,282
224787,998,312
224902,944,427
225004,1199,440
225116,1304,505
225241,994,353
225559,1298,571
225661,1119,660
225756,1127,753
225874,885,420
225975,972,390
226223,696,567
226345,616,550
226446,400,435
226552,243,528
226664,514,759
226773,382,640
226865,500,483
226965,325,462
227162,750,678
227255,619,652
227371,783,599
227473,565,718
227576,680,755
227675,757,541
227795,681,503
227897,1138,282
228009,1063,377
228111,939,382
228218,1012,374
228323,1078,37
228442,1257,326
228539,1279,397
228655,1241,640
228756,934,714
228861,928,565
228971,1336,126
229086,809,328
229206,1229,164
229315,984,166
229421,1211,369
229536,1163,340
229627,1165,307
229733,1355,198
229831,1189,586
229934,994,522
230037,1054,572
230142,1041,420
230252,997,655
230363,786,738
230459,906,512
230568,671,520
230663,457,408
230764,553,605
230853,433,565
231050,545,627
231154,339,390
231372,291,488
231486,430,764
231583,499,740
231686,330,416
231785,541,68
231896,989,604
232002,1020,260
232109,965,390
232227,1163,310
232328,1195,195
232432,1360,12
232938,1225,284
233062,1084,187
233164,1104,424
233263,1291,221
233377,1243,143
233469,1257,224
233570,882,280
233686,1119,413
233790,1034,229
233904,1082,160
234002,1052,107
234102,507,129
234205,836,179
234318,988,161
234419,1133,163
234727,1322,208
235042,1317,360
235147,1338,312
235277,1224,314
235378,1301,353
235492,1151,245
235617,979,238
235712,1200,154
235819,1023,307
235924,1087,281
236041,1092,295
236146,1122,200
236253,1289,249
236358,1073,269
236473,1272,254
236575,1295,223
236685,1240,344
236778,1148,186
236893,1188,201
236983,1134,113
237079,1176,262
237176,1247,219
237268,471,601
237363,933,181
237561,931,251
237662,1358,127
237765,1247,150
237962,1300,280
238166,1354,430
238265,1350,261
238370,1238,277
238470,1099,278
238583,1145,274
238680,1265,333
238783,982,351
238891,1158,464
238997,1033,340
239100,1065,282
239189,994,331
239303,1217,342
239402,1135,288
239502,1122,297
239603,1116,295
239718,1093,237
240019,1326,449
240133,1276,271
240248,1145,258
240354,995,232
240456,1096,245
240569,1155,224
240664,1003,284
240768,995,190
240865,1191,346
240969,1206,321
241075,1182,311
241178,1175,365
241273,1196,221
241370,1118,198
241486,1169,134
241585,1087,252
241681,1302,251
241782,1356,333
241888,1286,317
241987,1318,275
242115,1201,202
242222,1104,373
242335,1081,245
242436,924,321
242536,487,612
242652,492,599
242754,921,392
242871,846,432
242969,680,573
243068,739,151
243160,881,213
243252,1115,163
243350,1049,389
243444,987,333
243539,1039,258
243652,1140,361
243753,1224,316
243854,1288,209
243956,1118,320
244059,1283,286
244167,1104,310
244271,1145,262
244391,1195,248
244498,1139,233
244592,1113,284
244700,1114,271
244798,1000,185
244909,1104,338
245010,1162,345
245111,1094,314
245237,965,245
245345,868,331
245444,1078,394
245554,1011,362
245658,965,216
245755,1069,550
245974,601,523
246078,697,624
246288,730,555
246406,540,589
246512,549,622
246621,657,469
246743,482,574
246837,429,638
246949,498,671
247055,279,635
247177,329,620
247276,433,570
247389,350,565
247492,474,432
247592,439,556
247708,485,635
247819,472,570
247903,591,762
247992,564,480
248094,474,543
248193,551,667
248305,526,712
248411,594,706
248516,487,529
248620,739,598
248736,820,671
248847,744,452
248949,816,639
249046,730,532
249144,768,540
249238,666,544
249350,1013,556
249455,959,623
249570,908,580
249668,960,591
249766,827,476
249864,701,441
249976,971,439
250073,898,499
250204,957,449
250300,935,489
250401,1237,491
250509,1016,551
250623,1043,421
250723,1111,483
250835,959,360
250937,1162,414
251054,1000,442
251162,1012,372
251264,904,331
251370,1086,341
251491,1327,201
251597,1070,134
251707,1075,136
251826,775,546
251933,790,425
252041,920,655
252155,922,568
252262,732,554
252356,758,464
252470,567,630
252579,367,415
252680,673,597
252782,265,433
252878,481,603
253011,505,576
253125,643,757
253234,671,696
253338,565,700
253450,476,725
253555,491,521
253675,425,418
253783,515,584
253894,484,604
254010,747,573
254115,811,667
254218,781,632
254327,743,586
254448,701,470
254546,763,683
254663,931,733
254770,769,650
254877,699,515
254993,807,625
255099,829,597
255228,1234,535
255345,1099,700
255447,1065,694
255563,1041,504
255660,998,522
255767,965,465
255867,1053,495
255968,1062,352
256066,1203,472
256169,917,718
256269,1238,342
256367,1037,453
256464,1322,420
256567,1177,550
256702,1178,422
256788,1054,454
256879,1093,577
256968,1232,423
257073,1142,516
257184,1165,589
257281,1142,500
257384,1136,444
257482,964,461
257586,1168,404
257683,1039,336
257782,997,525
257874,979,380
257998,986,482
258084,1154,284
258180,1099,370
258283,1131,554
258380,1093,534
258482,1112,521
258579,732,352
258684,1173,258
258888,633,42
258984,599,208
259075,897,213
259178,1355,276
259269,1304,349
259369,1136,272
259466,1109,321
259561,1127,295
259667,1134,293
259765,1165,270
259867,1060,473
259969,1008,375
260083,1077,319
260186,1153,367
260274,1150,344
260382,1068,218
260479,1109,317
260583,1200,386
260685,1072,311
260786,1027,343
260885,1048,283
260986,1150,298
261088,1141,358
261198,1109,283
261294,903,253
261401,1069,400
261496,1150,345
261601,1039,230
261701,1068,382
261800,1154,305
261898,1046,442
262000,1131,299
262094,963,389
262206,1064,363
262308,1174,389
262408,1091,518
262504,1331,407
262615,1119,431
262708,1081,309
262817,829,212
262915,975,319
263018,1145,443
263117,1031,308
263317,1292,284
263417,1273,268
263515,1112,294
263612,1323,355
263716,1173,299
263815,1231,225
263917,1292,184
264015,1212,203
264128,1246,203
264232,1247,241
264330,1290,283
264436,1264,337
264530,1150,351
264634,1209,169
264732,1214,349
264835,1136,302
264934,985,181
265032,929,202
265129,1165,336
265236,1146,198
265334,1153,148
265433,1017,167
265529,986,149
265631,1078,265
265726,1051,274
265832,1209,271
265929,1188,124
266033,1110,202
266132,931,287
266236,1164,209
266334,1202,197
266435,1221,189
266531,1288,313
266637,1208,266
266750,945,294
266847,1182,155
266950,1252,52
267046,1043,216
267147,1043,247
267245,1148,203
267349,1186,134
267446,1072,210
267547,1351,337
267644,1328,115
267753,1270,139
267853,1083,271
267951,1212,114
268068,1065,192
268166,1054,322
268267,1035,280
268364,1213,91
268465,1179,126
268564,1233,294
268666,1199,106
268764,1246,379
268867,1306,69
268966,1237,60
269068,1219,251
269162,1153,219
269279,1257,235
269381,1123,278
269479,1270,188
269580,1183,232
269677,1116,119
269780,1188,282
269876,1142,292
269989,1279,266
270089,1163,145
270212,972,155
270316,1060,279
270418,1113,207
270517,891,255
270614,1118,279
270733,1283,356
270831,1234,395
270932,1105,166
271033,1103,170
271130,1214,289
271218,1233,222
271315,1226,237
271419,1126,159
271618,1293,192
271716,1169,396
271816,1170,113
271912,1250,254
272313,1237,230
273562,1197,277
273649,1337,322
273732,1322,70
273823,1280,130
273914,1224,233
274404,1325,189
274597,1238,255
274691,1253,523
274799,1187,97
274999,1267,222
275095,1264,170
275521,1282,75
275610,1239,163
275705,1313,170
275915,1219,153
276017,1227,222
276114,1299,341
276431,1193,134
276525,1322,345
276721,1345,328
276827,1350,349
276925,1158,229
277037,1245,210
277135,1286,209
277232,1314,426
277334,1314,290
277428,1301,151
277630,1280,459
277736,901,649
277822,1144,350
277934,1268,323
278030,1175,346
278133,1291,237
278230,1278,362
278333,1121,363
278439,1108,350
278550,1194,415
278648,1265,225
278755,1185,308
278848,1134,120
278945,1195,186
279051,1163,313
279149,1218,290
279251,998,24
279347,1129,188
279549,1276,169
279749,1196,130
279846,1118,185
279952,1190,137
280048,1269,164
280165,1232,70
280268,1184,272
280367,1127,166
280470,990,203
280568,970,148
280665,1105,127
280768,1040,172
280862,1136,287
280968,1119,283
281063,1130,325
281160,1227,289
281248,1156,267
281357,1203,172
281444,1109,272
281532,1201,298
281629,1176,224
281734,958,149
281829,900,124
281935,946,57
282033,1323,205
282143,1362,261
282353,1322,138
282548,1188,221
282949,1366,431
283047,1226,211
283151,1271,243
283258,1312,245
283360,1356,260
283452,1168,225
283650,1075,240
283749,1290,337
283851,1314,284
283947,1264,286
284060,1200,163
284151,1074,313
284238,1090,97
284351,1174,218
284441,624,138
284538,1008,44
284626,568,207
284718,856,334
284814,783,148
284918,884,36
285119,1024,321
285232,1227,267
285338,1166,246
285435,989,193
285531,994,260
285629,1308,357
285728,1183,350
285832,1264,171
285931,1136,103
286035,1205,177
286142,1100,248
286251,1303,206
286352,1249,241
286449,1194,237
286552,1080,318
286646,1131,259
286748,1229,221
286846,1106,270
286951,1246,140
287046,1266,97
287162,1290,229
287267,1357,441
287365,1060,284
287466,1071,170
287562,1068,249
287672,1023,77
287762,1067,254
287856,801,380
287966,1142,396
288063,1119,386
288167,930,457
288265,939,210
288365,1156,560
288463,1016,190
288567,943,275
288664,969,230
288775,1066,231
288872,1189,313
288983,1081,322
289081,973,292
289184,821,275
289285,1019,297
289382,1215,191
289485,1105,388
289580,1163,167
289678,1052,141
289775,965,257
289885,1334,312
289986,1256,148
290098,891,351
290238,926,203
290342,966,75
290442,710,129
290662,1107,158
290756,1075,492
290861,936,23
290967,1081,27
291062,1076,21
291166,1053,67
291270,986,291
291380,1060,280
291475,1168,221
291581,1077,332
291676,1039,415
291776,1086,391
291879,984,376
291977,907,622
292081,920,404
292183,1051,127
292783,1286,25
292876,1238,75
